# Time-averaged data for fix logger
# TimeStep c_Fsum c_Tglob
231600 1.02599e+06 1.3725
231800 1.0201e+06 1.35635
232000 1.02307e+06 1.35625
232200 1.02277e+06 1.37104
232400 1.01715e+06 1.36512
232600 1.03734e+06 1.35887
232800 1.02752e+06 1.35224
233000 1.02813e+06 1.36785
233200 1.02638e+06 1.36895
233400 1.02556e+06 1.36002
233600 1.03709e+06 1.37302
233800 1.0352e+06 1.37155
234000 1.02808e+06 1.35992
234200 1.02365e+06 1.37668
234400 1.02302e+06 1.37005
234600 1.02591e+06 1.36439
234800 1.03345e+06 1.37207
235000 1.03792e+06 1.37071
235200 1.02892e+06 1.35971
235400 1.03167e+06 1.38229
235600 1.02958e+06 1.37856
235800 1.02758e+06 1.37949
236000 1.03316e+06 1.38897
236200 1.03903e+06 1.37308
236400 1.024e+06 1.37829
236600 1.03709e+06 1.38137
236800 1.03823e+06 1.38745
237000 1.04083e+06 1.38361
237200 1.03695e+06 1.37944
237400 1.04238e+06 1.39682
237600 1.04165e+06 1.38393
237800 1.04199e+06 1.395
238000 1.03886e+06 1.39821
238200 1.04034e+06 1.38573
238400 1.03853e+06 1.39168
238600 1.0457e+06 1.39745
238800 1.04658e+06 1.39051
239000 1.04167e+06 1.3907
239200 1.0471e+06 1.40422
239400 1.04184e+06 1.39487
239600 1.04571e+06 1.3961
239800 1.04873e+06 1.39729
240000 1.05028e+06 1.3981
240200 1.04855e+06 1.41202
240400 1.0478e+06 1.40037
240600 1.04203e+06 1.40217
240800 1.05209e+06 1.41284
241000 1.04967e+06 1.4008
241200 1.05297e+06 1.40128
241400 1.05584e+06 1.41776
241600 1.04928e+06 1.41126
241800 1.0471e+06 1.41412
242000 1.05802e+06 1.41482
242200 1.0508e+06 1.41417
242400 1.04955e+06 1.41404
242600 1.05305e+06 1.42338
242800 1.04796e+06 1.40971
243000 1.04883e+06 1.41758
243200 1.05467e+06 1.41526
243400 1.04733e+06 1.40792
243600 1.05465e+06 1.41831
243800 1.05643e+06 1.41416
244000 1.06694e+06 1.4279
244200 1.06035e+06 1.41737
244400 1.05571e+06 1.42529
244600 1.04968e+06 1.42007
244800 1.05248e+06 1.4244
245000 1.05944e+06 1.42802
245200 1.06238e+06 1.41551
245400 1.06746e+06 1.43303
245600 1.06201e+06 1.42351
245800 1.06775e+06 1.4305
246000 1.07325e+06 1.42765
246200 1.05621e+06 1.42417
246400 1.06401e+06 1.43395
246600 1.06286e+06 1.433
246800 1.06212e+06 1.43066
247000 1.07572e+06 1.43116
247200 1.05919e+06 1.42745
247400 1.0632e+06 1.43095
247600 1.06641e+06 1.43663
247800 1.07252e+06 1.4465
248000 1.06468e+06 1.43292
248200 1.07182e+06 1.44938
248400 1.06787e+06 1.44108
248600 1.06082e+06 1.44773
248800 1.07067e+06 1.44216
249000 1.06186e+06 1.44749
249200 1.07381e+06 1.44887
249400 1.06765e+06 1.43879
249600 1.06672e+06 1.45022
249800 1.06476e+06 1.45428
250000 1.06307e+06 1.45025
250200 1.07559e+06 1.44781
250400 1.07482e+06 1.46245
250600 1.07081e+06 1.45453
250800 1.0805e+06 1.44921
251000 1.07011e+06 1.46149
251200 1.07828e+06 1.45277
251400 1.07138e+06 1.44831
251600 1.07473e+06 1.465
251800 1.08617e+06 1.45239
252000 1.07791e+06 1.4473
252200 1.08345e+06 1.45992
252400 1.08248e+06 1.45658
252600 1.08193e+06 1.46453
252800 1.08285e+06 1.46667
253000 1.07436e+06 1.46306
253200 1.08178e+06 1.47051
253400 1.07172e+06 1.477
253600 1.07545e+06 1.46529
253800 1.08534e+06 1.47212
254000 1.08309e+06 1.46766
254200 1.07782e+06 1.4735
254400 1.08597e+06 1.47766
254600 1.08294e+06 1.45605
254800 1.08588e+06 1.47253
255000 1.07208e+06 1.48665
255200 1.07075e+06 1.46484
255400 1.09152e+06 1.46919
255600 1.08755e+06 1.47808
255800 1.08824e+06 1.48094
256000 1.0922e+06 1.47831
256200 1.08872e+06 1.47011
256400 1.09287e+06 1.49284
