# Time-averaged data for fix logger
# TimeStep v_time_ps c_sumFobs0 c_sumFmag0 c_sumFobs1 c_sumFmag1 c_sumFobs2 c_sumFmag2 c_sumFobs3 c_sumFmag3 c_sumFobs4 c_sumFmag4 c_sumFobs5 c_sumFmag5 c_sumFobs6 c_sumFmag6 c_sumFobs7 c_sumFmag7 c_sumFobs8 c_sumFmag8 c_sumFobs9 c_sumFmag9
5180 2.59 -3.09899 379.396 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5181 2.5905 -3.10555 379.399 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5182 2.591 -3.11236 379.402 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5183 2.5915 -3.11944 379.404 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5184 2.592 -3.12676 379.407 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5185 2.5925 -3.13432 379.41 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5186 2.593 -3.14215 379.413 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5187 2.5935 -3.15022 379.416 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5188 2.594 -3.15853 379.419 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5189 2.5945 -3.16708 379.421 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5190 2.595 -3.17588 379.424 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5191 2.5955 -3.18492 379.427 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5192 2.596 -3.1942 379.43 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5193 2.5965 -3.20372 379.433 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5194 2.597 -3.21348 379.436 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5195 2.5975 -3.22348 379.439 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5196 2.598 -3.23372 379.441 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5197 2.5985 -3.2442 379.444 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5198 2.599 -3.25491 379.447 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5199 2.5995 -3.26586 379.45 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5200 2.6 -3.27704 379.453 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5201 2.6005 -3.28845 379.456 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5202 2.601 -3.30009 379.459 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
