# Time-averaged data for fix logger
# TimeStep v_time_ps c_Fobs c_Fsum v_E
9260 4.63 -3.27516e-15 738.343 -4.43582e-18
9270 4.635 -3.27516e-15 738.343 -4.43582e-18
9280 4.64 -3.27516e-15 738.343 -4.43582e-18
9290 4.645 -3.27516e-15 738.343 -4.43582e-18
9300 4.65 -3.27516e-15 738.343 -4.43582e-18
9310 4.655 -3.27516e-15 738.343 -4.43582e-18
9320 4.66 -3.27516e-15 738.343 -4.43582e-18
9330 4.665 -3.27516e-15 738.343 -4.43582e-18
9340 4.67 -3.27516e-15 738.343 -4.43582e-18
9350 4.675 -3.27516e-15 738.343 -4.43582e-18
9360 4.68 -3.27516e-15 738.343 -4.43582e-18
9370 4.685 -3.27516e-15 738.343 -4.43582e-18
9380 4.69 -3.27516e-15 738.343 -4.43582e-18
9390 4.695 -3.27516e-15 738.343 -4.43582e-18
9400 4.7 -3.27516e-15 738.343 -4.43582e-18
9410 4.705 -3.27516e-15 738.343 -4.43582e-18
9420 4.71 -3.27516e-15 738.343 -4.43582e-18
9430 4.715 -3.27516e-15 738.343 -4.43582e-18
9440 4.72 -3.27516e-15 738.343 -4.43582e-18
9450 4.725 -3.27516e-15 738.343 -4.43582e-18
9460 4.73 -3.27516e-15 738.343 -4.43582e-18
9470 4.735 -3.27516e-15 738.343 -4.43582e-18
9480 4.74 -3.27516e-15 738.343 -4.43582e-18
9490 4.745 -3.27516e-15 738.343 -4.43582e-18
9500 4.75 -3.27516e-15 738.343 -4.43582e-18
9510 4.755 -3.27516e-15 738.343 -4.43582e-18
9520 4.76 -3.27516e-15 738.343 -4.43582e-18
9530 4.765 -3.27516e-15 738.343 -4.43582e-18
9540 4.77 -3.27516e-15 738.343 -4.43582e-18
9550 4.775 -3.27516e-15 738.343 -4.43582e-18
9560 4.78 -3.27516e-15 738.343 -4.43582e-18
9570 4.785 -3.27516e-15 738.343 -4.43582e-18
9580 4.79 -3.27516e-15 738.343 -4.43582e-18
9590 4.795 -3.27516e-15 738.343 -4.43582e-18
9600 4.8 -3.27516e-15 738.343 -4.43582e-18
9610 4.805 -3.27516e-15 738.343 -4.43582e-18
9620 4.81 -3.27516e-15 738.343 -4.43582e-18
9630 4.815 -3.27516e-15 738.343 -4.43582e-18
9640 4.82 -3.27516e-15 738.343 -4.43582e-18
