# Time-averaged data for fix logH
# TimeStep v_H v_pressVar
61600 1.02293e+08 547.7
61700 7.62252e+07 408.217
61800 9.32646e+07 499.394
61900 8.08404e+07 432.916
62000 1.11791e+08 598.531
62100 9.0679e+07 485.565
62200 9.35128e+07 500.73
62300 9.07031e+07 485.698
62400 8.38974e+07 449.282
62500 1.13429e+08 607.309
62600 1.27138e+08 680.668
62700 1.19483e+08 639.707
62800 1.07486e+08 575.516
62900 1.06771e+08 571.69
63000 1.12206e+08 600.777
63100 1.43103e+08 766.112
63200 1.33364e+08 714
63300 1.30856e+08 700.584
63400 1.01687e+08 544.497
63500 1.05196e+08 563.278
63600 1.12562e+08 602.695
63700 1.30913e+08 700.9
63800 1.41183e+08 755.862
63900 1.44775e+08 775.086
64000 1.15248e+08 617.079
64100 1.26528e+08 677.446
64200 1.28275e+08 686.799
64300 1.3045e+08 698.443
64400 1.20699e+08 646.263
64500 1.23001e+08 658.585
64600 1.54914e+08 829.367
64700 1.30641e+08 699.476
64800 1.24524e+08 666.742
64900 1.30173e+08 696.974
65000 1.47395e+08 789.144
65100 1.70839e+08 914.612
65200 1.68805e+08 903.732
65300 1.38302e+08 740.491
65400 1.44595e+08 774.174
65500 1.19341e+08 639.024
65600 1.33252e+08 713.477
65700 1.62184e+08 868.316
65800 1.6321e+08 873.815
65900 1.62222e+08 868.53
66000 1.32108e+08 707.366
66100 1.4383e+08 770.108
66200 1.46921e+08 786.654
66300 1.63641e+08 876.138
66400 1.75996e+08 942.268
66500 1.4023e+08 750.854
66600 1.39858e+08 748.864
66700 1.51558e+08 811.49
66800 1.73717e+08 930.089
66900 1.50107e+08 803.732
67000 1.72562e+08 923.916
67100 1.95666e+08 1047.57
67200 1.55327e+08 831.679
67300 1.58487e+08 848.595
67400 1.70588e+08 913.369
67500 1.79344e+08 960.237
67600 1.70312e+08 911.898
67700 1.73861e+08 930.898
67800 1.83659e+08 983.346
67900 1.59786e+08 855.572
68000 1.83408e+08 982.015
68100 1.85547e+08 993.468
68200 1.81688e+08 972.817
68300 1.85902e+08 995.378
68400 1.99154e+08 1066.32
68500 1.75381e+08 939.072
68600 2.07183e+08 1109.3
68700 2.1035e+08 1126.26
68800 2.06702e+08 1106.74
68900 2.05243e+08 1098.93
69000 1.85318e+08 992.285
69100 2.09628e+08 1122.42
69200 1.94797e+08 1043.04
69300 2.21771e+08 1187.42
69400 2.13134e+08 1141.2
69500 2.3509e+08 1258.73
69600 2.61782e+08 1401.62
69700 2.09767e+08 1123.2
69800 1.98606e+08 1063.46
69900 2.09669e+08 1122.69
70000 2.20624e+08 1181.33
70100 2.37404e+08 1271.16
70200 2.31656e+08 1240.4
70300 2.3338e+08 1249.63
70400 2.13272e+08 1142
70500 2.1888e+08 1172.03
70600 2.38376e+08 1276.4
70700 2.29275e+08 1227.68
70800 2.43431e+08 1303.47
70900 2.34919e+08 1257.91
71000 2.27696e+08 1219.25
71100 2.30906e+08 1236.44
71200 2.38237e+08 1275.7
71300 2.4198e+08 1295.74
71400 2.53848e+08 1359.28
71500 2.50663e+08 1342.24
71600 2.46111e+08 1317.88
71700 2.4059e+08 1288.33
71800 2.4702e+08 1322.76
71900 2.6206e+08 1403.29
72000 2.54822e+08 1364.54
72100 2.91028e+08 1558.38
72200 2.70096e+08 1446.33
72300 2.62471e+08 1405.52
72400 2.41423e+08 1292.84
72500 2.788e+08 1492.96
72600 2.48525e+08 1330.88
72700 2.69353e+08 1442.4
72800 2.98236e+08 1597.04
72900 2.92062e+08 1563.99
73000 2.77992e+08 1488.68
73100 2.58694e+08 1385.37
73200 2.81864e+08 1509.42
73300 2.82587e+08 1513.3
73400 3.17823e+08 1701.97
73500 3.30414e+08 1769.39
73600 3.14918e+08 1686.43
73700 2.8736e+08 1538.9
73800 2.92421e+08 1566
73900 2.72535e+08 1459.54
74000 2.87735e+08 1540.93
74100 3.04961e+08 1633.18
74200 3.14058e+08 1681.89
74300 3.05117e+08 1634.04
74400 3.13472e+08 1678.78
74500 2.99571e+08 1604.36
74600 3.0255e+08 1620.32
74700 2.95657e+08 1583.42
74800 3.15649e+08 1690.48
74900 3.22218e+08 1725.67
75000 3.3257e+08 1781.11
75100 3.26603e+08 1749.17
75200 2.97644e+08 1594.12
75300 3.10337e+08 1662.09
75400 3.28605e+08 1759.93
75500 3.46368e+08 1855.05
75600 3.31925e+08 1777.72
75700 2.99872e+08 1606.1
75800 3.13687e+08 1680.09
75900 3.41659e+08 1829.88
76000 3.38579e+08 1813.4
76100 3.35422e+08 1796.51
76200 3.35287e+08 1795.8
76300 3.22192e+08 1725.69
76400 3.24496e+08 1738.04
76500 3.25748e+08 1744.76
76600 3.55367e+08 1903.38
76700 3.65305e+08 1956.62
76800 3.49193e+08 1870.34
76900 3.18783e+08 1707.51
77000 3.20608e+08 1717.29
77100 3.50058e+08 1875.02
77200 3.6272e+08 1942.84
77300 3.64839e+08 1954.2
77400 3.73992e+08 2003.24
77500 3.41272e+08 1828.02
77600 3.46932e+08 1858.34
77700 3.6896e+08 1976.33
