# Time-averaged data for fix log
# TimeStep v_P v_V v_E
109800 4.52164 5840.38 0.0107882
110000 4.44862 5845.32 0.0105796
110200 4.32107 5848.45 0.0104449
110400 4.38865 5848.76 0.0104742
110600 4.53191 5847.09 0.0105834
110800 4.58984 5844.54 0.0106947
111000 4.54578 5842.78 0.0108242
111200 4.48332 5841.15 0.0107126
111400 4.58058 5838.24 0.010937
111600 4.62501 5834.2 0.0110501
111800 4.72086 5831.42 0.0109283
112000 4.67557 5830.77 0.0109262
112200 4.59715 5831.46 0.0108754
112400 4.6186 5832.14 0.0109473
112600 4.62163 5832.29 0.0109754
112800 4.58395 5830.96 0.0108349
113000 4.59511 5828.03 0.0108272
113200 4.68744 5823.77 0.011037
113400 4.67885 5819.58 0.0109466
113600 4.66469 5814.26 0.0109554
113800 4.67163 5806.97 0.0109128
114000 4.63042 5798.31 0.0110141
114200 4.8496 5790.86 0.0112643
114400 4.95486 5788.31 0.0115171
114600 4.77466 5792.28 0.0113294
114800 4.71424 5798.27 0.0109876
115000 4.65163 5802.28 0.0109135
115200 4.66092 5802.74 0.0110464
115400 4.64042 5800.98 0.0109409
115600 4.79333 5798.31 0.0112377
115800 4.8386 5796 0.0113099
116000 4.71275 5794.29 0.0112002
116200 4.86687 5792.41 0.0112753
116400 4.75802 5790.69 0.0111156
116600 4.70567 5786.84 0.0110661
116800 4.75864 5779.48 0.0112986
117000 4.83487 5771.07 0.0112809
117200 4.99926 5763.87 0.0115478
117400 5.05771 5760.54 0.011604
117600 4.89859 5761.63 0.0113047
117800 4.95303 5764.01 0.0114525
118000 4.8517 5766.68 0.0113736
118200 4.90277 5768.79 0.0112997
118400 4.89183 5768.91 0.0114388
118600 4.9594 5768.01 0.0115071
118800 5.01401 5767.91 0.0115807
119000 5.02999 5769.52 0.0115195
119200 4.9775 5773.42 0.0115052
119400 4.93699 5778.16 0.0114158
119600 4.68492 5780.56 0.0112144
119800 4.89982 5777.12 0.011516
120000 4.99635 5769.71 0.0114898
120200 5.10314 5762.04 0.0117348
120400 5.13378 5756.36 0.0118015
120600 5.05738 5752.87 0.0116939
120800 5.05604 5749.29 0.0116053
121000 5.02547 5745.12 0.011624
121200 5.02684 5740.57 0.0116753
121400 5.0565 5736.45 0.0118399
121600 5.05227 5732.91 0.0117535
121800 5.1638 5730.39 0.0117918
122000 5.08418 5730.21 0.0117336
122200 5.11903 5730.87 0.0116062
122400 5.10913 5730.1 0.0116942
122600 5.13235 5728.47 0.0119113
122800 5.2878 5728.07 0.0119857
123000 5.25583 5730.74 0.0119557
123200 5.21197 5735.89 0.0119151
123400 5.05354 5741.77 0.0117822
123600 5.0612 5745.43 0.0117035
123800 5.06751 5745.85 0.0117058
124000 5.13738 5743.99 0.0118834
124200 5.13386 5741.91 0.0118246
124400 5.2761 5739.8 0.0118842
124600 5.0813 5736.59 0.0118557
124800 5.07984 5730.53 0.0119211
125000 5.24401 5721.59 0.0120491
125200 5.32616 5711.65 0.0120242
125400 5.35436 5702.53 0.0121001
125600 5.34292 5694.48 0.0121992
125800 5.38262 5687.96 0.0123391
126000 5.40923 5684.71 0.0123535
126200 5.48596 5686.19 0.0124413
126400 5.52028 5692.73 0.0122602
126600 5.33859 5702.69 0.0121519
126800 5.29144 5712.42 0.0120261
127000 5.12559 5719.13 0.0117693
127200 5.22682 5720.82 0.0119942
127400 5.31678 5717.85 0.0120613
127600 5.46717 5711.83 0.012271
127800 5.34887 5705.22 0.0120183
128000 5.46051 5698.42 0.0121158
128200 5.35721 5691.51 0.0123416
128400 5.39865 5684.52 0.0124416
128600 5.41992 5678.29 0.0123171
128800 5.39154 5673.18 0.01235
129000 5.53241 5668.92 0.0124717
129200 5.43615 5665.46 0.0124366
129400 5.45428 5661.95 0.0124983
129600 5.58416 5658.97 0.0125458
129800 5.72387 5659 0.012795
130000 5.69564 5664.4 0.0126295
130200 5.52128 5674.79 0.0124475
